"Date","Pool","Currency","Wallet","DailyEarnings","StartTime","StartValue","EndTime","EndValue","Balance","Pending","Unpaid","Payout"
"2023-09-11","MiningDutch","AEON","UselessGuru","0","21:37:55","0.00170007","21:47:57","0.00170007","0.00170007","0","0.00170007","0"
"2023-09-11","MiningDutch","BELL","UselessGuru","0","21:37:55","0.43648422","21:47:57","0.43648422","0.43648422","0","0.43648422","0"
"2023-09-11","MiningDutch","BTC","UselessGuru","0","21:37:55","4.699E-05","21:47:57","4.699E-05","4.699E-05","0","4.699E-05","0"
"2023-09-11","MiningDutch","CCC","UselessGuru","0","21:37:55","4.313485","21:47:57","4.313485","4.313485","0","4.313485","0"
"2023-09-11","MiningDutch","CLORE","UselessGuru","0","21:37:55","0.01281439","21:47:57","0.01281439","0.01281439","0","0.01281439","0"
"2023-09-11","MiningDutch","DMS","UselessGuru","0","21:37:55","0.09630923","21:47:57","0.09630923","0.09630923","0","0.09630923","0"
"2023-09-11","MiningDutch","FTC","UselessGuru","0","21:37:55","0.84452926","21:47:57","0.84452926","0.84452926","0","0.84452926","0"
"2023-09-11","MiningDutch","GUN","UselessGuru","0","21:37:55","10.8156864","21:47:57","10.8156864","10.8156864","0","10.8156864","0"
"2023-09-11","MiningDutch","IQ","UselessGuru","0","21:37:55","2.58782551","21:47:57","2.58782551","2.58782551","0","2.58782551","0"
"2023-09-11","MiningDutch","NEOX","UselessGuru","0","21:37:55","0.57254822","21:47:57","0.57254822","0.57254822","0","0.57254822","0"
"2023-09-11","MiningDutch","NYX","UselessGuru","0","21:37:55","0.09979641","21:47:57","0.09979641","0.09979641","0","0.09979641","0"
"2023-09-11","MiningDutch","PAPRY","UselessGuru","0","21:37:55","0.22477687","21:47:57","0.22477687","0.22477687","0","0.22477687","0"
"2023-09-11","MiningDutch","UFO","UselessGuru","0","21:37:55","0.20887727","21:47:57","0.20887727","0.20887727","0","0.20887727","0"
"2023-09-11","MiningDutch","VHH","UselessGuru","0","21:37:55","6317.71316063","21:47:57","6317.71316063","6317.71316063","0","6317.71316063","0"
"2023-09-11","MiningDutch","VTC","UselessGuru","0","21:37:55","0.08558942","21:47:57","0.08558942","0.08558942","0","0.08558942","0"
"2023-09-11","MiningDutch","YEC","UselessGuru","0","21:37:55","0.10712654","21:47:57","0.10712654","0.10712654","0","0.10712654","0"
